,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
117,it01,it01-014,putu,1,329.22325370953234,671.3215647320055,2368.75478195158,127.233873424898,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
118,it01,it01-014,putu,2,303.03287963085984,699.4948824046576,2390.6240867219094,123.8724629593686,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
119,it01,it01-014,putu,3,288.9954114520825,709.0042322194819,2344.926913881264,121.92912877585223,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
120,it01,it01-014,putu,4,274.7125958864572,717.528193543099,2357.015321540274,120.59313933144766,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
121,it01,it01-014,putu,5,272.00019068811764,739.7778251908665,2300.6454590049184,119.78463204068024,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
122,it01,it01-014,putu,6,267.9891628307892,778.0457590135666,2321.9173790229447,119.57036081655338,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
123,it01,it01-014,putu,7,268.7874267946441,889.3671966641173,2253.820138887886,119.55458664403275,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
124,it01,it01-014,putu,8,264.76351309381425,963.1137853212084,2190.994618384146,119.23263701992146,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
125,it01,it01-014,putu,9,266.0097481839043,1043.8002927095258,2451.175809081635,118.46128464411304,Italian,m,ital1282,17,putu,p,voiceless,u,back,high,t,voiceless,coronal
126,it01,it01-015,bata,1,592.5047425029217,1092.599865215067,2269.0510714104907,,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
127,it01,it01-015,bata,2,671.1435493219171,1124.634411980182,2282.065906596968,111.27836703674068,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
128,it01,it01-015,bata,3,725.5612480273556,1185.2145084173517,2290.81034751808,109.44483187015238,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
129,it01,it01-015,bata,4,731.0073261543828,1225.4162207025172,2276.4792409455745,108.39678425430536,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
130,it01,it01-015,bata,5,727.2337040611444,1242.6100694255492,2258.548002386322,108.41708959402732,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
131,it01,it01-015,bata,6,723.5642544544197,1257.638042512593,2211.0977211170566,109.02707179213223,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
132,it01,it01-015,bata,7,713.7453323228295,1275.161722495882,2159.3683932110384,109.3781940569264,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
133,it01,it01-015,bata,8,703.6265861573888,1305.1696788992842,2129.6357735665383,110.303559320992,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
134,it01,it01-015,bata,9,650.352283441424,1318.5939122605064,2124.695568360288,110.56860463206289,Italian,m,ital1282,5,bata,b,voiced,a,central,low,t,voiceless,coronal
135,it01,it01-016,bucu,1,277.0696832589231,665.625768340378,2303.041674454236,117.38184258244438,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
136,it01,it01-016,bucu,2,296.1646336271492,640.1368200400356,2317.067616417703,118.01740856785716,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
137,it01,it01-016,bucu,3,305.15641265077085,654.410975270592,2345.675234819652,117.95053735005897,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
138,it01,it01-016,bucu,4,304.5248263492169,664.9494520732695,2341.9346977212635,117.78158175386278,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
139,it01,it01-016,bucu,5,305.16648649023875,660.6549492029638,2332.913952370772,117.64650588066708,Italian,m,ital1282,23,buku,b,voiced,u,back,high,k,voiceless,velar
